"UPAYS_REG","NOM_UP"
1,"Hull"
2,"Saint-Jean-sur-Richelieu"
3,"Montréal"
4,"Lac Sinclair"
5,"Maniwaki"
6,"Lac la Blanche"
7,"Trois-Rivières"
8,"Sherbrooke"
9,"Drummondville"
10,"Nicolet"
11,"Laurier-Station"
12,"Québec"
13,"Montmagny"
14,"Lac Ostaboningue"
15,"Témiscaming"
16,"Lac Memewin"
17,"Lac du Pin Blanc"
18,"Lac Nilgaut"
19,"Lac Lynch"
20,"Lac Dumont"
21,"Mont-Laurier"
22,"Lac du Poisson Blanc"
23,"Lac Simon"
24,"Lac Nominingue"
25,"Saint-Jérôme"
26,"Val-David"
27,"Lac Archambault"
28,"Saint-Michel-des-Saints"
29,"Lac Mékinac"
30,"Mont Mégantic"
31,"Lac Saint-François"
32,"Thetford-Mines"
33,"Sainte-Marie"
34,"Lac Etchemin"
35,"Saint-Cyprien"
36,"Saint-Pamphile"
37,"Ville-Marie"
38,"Lac Simard"
39,"Lac à la Truite"
40,"Grand lac Victoria"
41,"Réservoir Dozois"
42,"Lac Delahey"
43,"Lac Yser"
44,"Réservoir Cabonga"
45,"Lac Saint-Amour"
46,"Lac Notawassi"
47,"Lac Lenôtre"
48,"Réservoir Mitchinamecus"
49,"Lac Laverdière"
50,"Lac Légaré"
51,"Lac Kempt"
52,"Lac Normand"
53,"Lac Blanc"
54,"Lac Édouard"
55,"Lac Saint-Joseph et Saint-Tite-des-Caps"
56,"La Malbaie et Baie-Saint-Paul"
57,"Tadoussac"
58,"Anse Saint-Jean"
59,"Chicoutimi et Jonquière"
60,"Plaine du lac Saint-Jean"
61,"Lac Morin"
62,"Lac Pohénégamook"
63,"Lac Témiscouata"
64,"Rimouski"
65,"Lac des Baies"
66,"Lac des Aigles"
67,"Lac Matapédia"
68,"Lac Humqui"
69,"Rivière Matapédia"
70,"Pointe-à-la-Croix"
71,"Newport"
72,"Saint-Edgar"
73,"Les Méchins"
74,"Mont-Louis et Gaspé"
75,"Rouyn-Noranda"
76,"Lac Macamic"
77,"Lac Malartic"
78,"Lac Obalski"
79,"Val-d'Or"
80,"Lac Cambrai"
81,"Lac Valets"
82,"Réservoir Gouin"
