"VEG_POT","UPAYS_REG","ind","supTot","codInd"
"RE2",177,"RE2_177",376.125,1
"RE1",177,"RE1_177",133,2
"RE3",177,"RE3_177",46.875,3
"RS2",177,"RS2_177",294.8125,4
"RS2",176,"RS2_176",2443.5,5
"RE2",176,"RE2_176",1201.125,6
"RE1",176,"RE1_176",443.4375,7
"RS2",175,"RS2_175",186.3125,8
"RE2",175,"RE2_175",138.625,9
"RE3",176,"RE3_176",168.75,10
"RE3",175,"RE3_175",30.25,11
"RE1",175,"RE1_175",97.875,12
"MS2",175,"MS2_175",6.9375,13
"MS2",176,"MS2_176",126.375,14
"MS2",177,"MS2_177",7.8125,15
"RE4",177,"RE4_177",0.0625,16
"RS2",152,"RS2_152",1381.1875,17
"RE1",137,"RE1_137",132.0625,18
"RE2",137,"RE2_137",1129.5,19
"RE3",137,"RE3_137",136.4375,20
"RE2",152,"RE2_152",223.1875,21
"MS2",152,"MS2_152",93.625,22
"RS2",137,"RS2_137",901.6875,23
"MS2",137,"MS2_137",28.25,24
"RE2",151,"RE2_151",747.125,25
"RE3",151,"RE3_151",158.875,26
"RE1",151,"RE1_151",161.75,27
"RS2",151,"RS2_151",394.5625,28
"RE2",746,"RE2_746",1.5,29
"RE1",746,"RE1_746",1.0625,30
"RE1",152,"RE1_152",68.4375,31
"MS2",151,"MS2_151",4.9375,32
"RE3",152,"RE3_152",42.625,33
"RE2",145,"RE2_145",520.375,34
"RS2",153,"RS2_153",374.5,35
"RE2",153,"RE2_153",44.6875,36
"RS2",145,"RS2_145",3083.125,37
"MS2",153,"MS2_153",8.4375,38
"RE1",145,"RE1_145",114.0625,39
"RE3",145,"RE3_145",76.8125,40
"RE1",153,"RE1_153",8.875,41
"RE4",153,"RE4_153",0.1875,42
"RE3",153,"RE3_153",8.3125,43
"RS2",155,"RS2_155",770.3125,44
"RS2",154,"RS2_154",3215.1875,45
"RE3",154,"RE3_154",112.625,46
"RE2",154,"RE2_154",641.6875,47
"RE2",155,"RE2_155",93.1875,48
"RE1",138,"RE1_138",472.5625,49
"RE1",154,"RE1_154",311.5625,50
"RE2",138,"RE2_138",2969.1875,51
"RE1",139,"RE1_139",721.125,52
"MS2",154,"MS2_154",51.8125,53
"RE2",139,"RE2_139",2105,54
"RE3",139,"RE3_139",368.5,55
"RS2",139,"RS2_139",1286.75,56
"RE1",155,"RE1_155",25.625,57
"MS2",155,"MS2_155",39.5,58
"RE3",155,"RE3_155",14.375,59
"RE3",138,"RE3_138",409.875,60
"RE2",136,"RE2_136",1208.75,61
"RE1",136,"RE1_136",95.4375,62
"RE3",136,"RE3_136",237.6875,63
"RS2",138,"RS2_138",1232.5625,64
"RS2",136,"RS2_136",795.4375,65
"LA2",139,"LA2_139",0.3125,66
"RE3",746,"RE3_746",0.1875,67
"MS2",145,"MS2_145",62.1875,68
"RE2",133,"RE2_133",257.5,69
"RS2",133,"RS2_133",95.375,70
"RE2",119,"RE2_119",1601.5625,71
"RE3",119,"RE3_119",2683,72
"RE1",133,"RE1_133",27.125,73
"RE3",133,"RE3_133",34,74
"LA2",138,"LA2_138",0.125,75
"MS2",138,"MS2_138",22.75,76
"RE4",152,"RE4_152",0.0625,77
"RE4",155,"RE4_155",0.125,78
"MS2",139,"MS2_139",31.875,79
"RS2",119,"RS2_119",232.5,80
"MS2",119,"MS2_119",9.5625,81
"MS2",136,"MS2_136",86.5625,82
"MS2",133,"MS2_133",0.5625,83
"RE1",119,"RE1_119",26.0625,84
"RE2",148,"RE2_148",160.1875,85
"RS2",148,"RS2_148",2199.75,86
"RE2",135,"RE2_135",1118.5,87
"RE2",123,"RE2_123",1708.6875,88
"RE3",135,"RE3_135",118.25,89
"RE3",123,"RE3_123",890.625,90
