VegPotID,VegPotName,Description
1,FC1,Chênaie rouge
2,FE1,Érablière à caryer cordiforme
3,FE2,Érablière à tilleul
4,FE3,Érablière à bouleau jaune
5,FE4,Érablière à bouleau jaune et hêtre
6,FE5,Érablière à ostryer
7,FE6,Érablière à chêne rouge
8,FO1,Ormaie à frène noir
9,MF1,Frênaie noire à sapin
10,MJ1,Bétulaie jaune à sapin et érable à sucre
11,MJ2,Bétulaie jaune à sapin
12,MS1,Sapinière à bouleau jaune
13,MS2,Sapinière à bouleau blanc
14,MS6,Sapinière à érable rouge
15,RB1,Pessière blanche ou cèdrière issue d'agriculture
17,RC3,Cèdrière tourbeuse à sapin
18,RE1,Pessière noire à lichens
19,RE2,Pessière noire à mousses ou à éricacées
20,RE3,Pessière noire à sphaignes
21,RP1,Pinède blanche ou pinède rouge
22,RS1,Sapinière à thuya
23,RS2,Sapinière à épinette noire
24,RS3,Sapinière à épinette noire et sphaignes
25,RS5,Sapinière à épinette rouge
26,RT1,Prucheraie
