"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"FC1",5,12,95,0,0,1,0,0,10,3,0,0,0
"FE1",23,15,8,0,0,1,0,0,6,4,0,4,0
"FE2",893,124,85,10,0,27,0,6,37,75,1,28,0
"FE3",3323,261,227,163,5,18,2,19,68,262,2,71,0
"FE4",134,17,0,4,0,0,0,0,0,2,0,0,0
"FE5",289,34,65,0,0,5,0,0,16,10,0,0,0
"FE6",135,74,447,0,0,1,0,0,67,18,0,0,0
"FO1",0,17,0,0,0,53,0,0,16,3,0,6,0
"MF1",8,29,0,9,8,6,6,8,165,33,0,88,0
"MJ1",410,294,66,455,9,27,12,69,175,182,0,139,1
"MJ2",59,1038,71,1158,140,114,199,670,594,826,2,467,16
"MS1",61,155,4,550,65,63,233,279,138,258,10,99,3
"MS2",4,48,0,17,774,323,2046,1677,391,1227,33,62,45
"MS6",0,118,0,0,73,28,104,151,53,292,6,22,4
"RB1",0,0,0,2,0,13,10,7,99,13,0,17,2
"RC3",0,7,0,8,26,4,1,4,10,7,0,285,0
"RE1",0,0,0,0,21,182,0,0,4,0,587,0,178
"RE2",0,14,0,0,690,815,25,66,63,163,3293,0,1313
"RE3",4,7,0,2,254,182,10,16,74,10,1617,0,34
"RP1",0,18,34,1,12,2,1,24,529,14,6,48,14
"RS1",4,79,4,4,57,8,6,17,82,139,4,862,0
"RS2",3,43,0,11,3760,319,281,508,235,420,731,28,189
"RS3",0,28,0,4,469,75,95,99,91,26,158,29,0
"RS5",0,27,0,7,18,11,14,16,181,11,0,5,7
"RT1",17,98,208,2,0,1,0,0,9,5,0,28,0
