"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"FC1",4,0,5,56,0,1,0,0,0,60,0,0,0,0,0
"FE1",12,0,19,9,0,1,0,0,3,7,6,0,0,4,0
"FE2",284,47,763,96,0,16,6,4,21,28,9,1,0,11,0
"FE3",2153,129,1609,198,0,16,9,12,87,48,115,2,0,38,5
"FE4",36,1,117,1,0,0,0,0,0,0,2,0,0,0,0
"FE5",64,1,220,104,0,5,0,0,4,21,0,0,0,0,0
"FE6",75,20,55,448,0,1,1,2,3,132,0,0,0,5,0
"FO1",5,5,4,0,0,58,10,0,7,0,0,0,0,6,0
"MF1",25,24,10,0,3,16,93,2,31,10,50,0,0,90,6
"MJ1",480,243,68,102,6,24,49,53,115,64,486,1,6,132,10
"MJ2",202,914,9,153,44,88,376,476,690,241,1272,2,93,536,258
"MS1",77,191,5,15,36,60,312,232,252,11,540,7,7,100,73
"MS2",5,50,1,19,632,324,2024,1515,1060,85,18,37,156,59,662
"MS6",0,130,0,6,36,26,119,106,302,8,0,8,16,29,65
"RB1",0,3,0,0,0,15,85,6,24,5,2,0,2,17,4
"RC3",0,7,0,0,3,4,2,5,9,0,5,0,0,309,8
"RE1",0,0,0,0,4,182,4,0,0,0,0,546,234,0,2
"RE2",0,4,0,9,77,815,57,38,31,11,0,3093,1937,9,361
"RE3",1,2,3,0,32,184,81,7,4,0,2,1751,76,12,55
"RP1",2,13,2,4,5,2,9,4,8,524,1,4,10,45,70
"RS1",15,23,1,12,12,9,22,29,175,24,8,4,0,903,29
"RS2",3,23,0,12,1735,319,306,236,236,45,8,1839,403,39,1324
"RS3",0,18,0,0,156,73,192,51,30,0,4,339,3,51,157
"RS5",0,12,0,5,13,11,153,12,19,11,6,0,8,31,16
"RT1",194,113,3,18,0,1,0,0,5,22,7,0,0,5,0
